parameters,old_data_type,ori_min,ori_max ,multiplier,new_data_type,final_min,final_max ,no_data
geomorphon,Int16,1,10,1,Byte,1,10,255
hillshade,Float32,0,28357,1,UInt16,0,28357,65535
slope.in.degree,Float32,0,15.29,100,UInt16,0,1529,65535
ls.factor,Float32,0,13,1000,UInt16,0,13000,65535
pro.curv,Float32,-8.210329056,8.011730194,1000,Int16,-8210.329056,8011.730194,32767
ring.curv,Float32,-8.15170002,7.971476078,10000,Int16,-81517.0002,79714.76078,32767
shpindx,Float32,-1,1,1000,Int16,-1000,1000,32767
tan.curv,Float32,-8.210329056,8.011730194,1000,Int16,-8210.329056,8011.730194,32767
maxic,Float32,-0.01404332742,0.05662668124,1000,Int16,-14.04332742,56.62668124,32767
minic,Float32,-0.05388308689,0.02065591887,1000,Int16,-53.88308689,20.65591887,32767
neg.openness,Float32,11.25551224,163.3332672,100,UInt16,1125.551224,16333.32672,65535
dfme,Float32,-50,50,100,Int16,-5000,5000,32767
pos.openness,Float32,13.74073124,167.3908234,100,UInt16,1374.073124,16739.08234,65535
spec.catch,Float32,0,15.29,1000,UInt16,0,15290,65535
nodepress.dtm,Float32,-400,8888,10,Int32,-4000,88880,2147483647
filtered.dtm,Float32,-400,8888,10,Int32,-4000,88880,2147483647
ssdon,Float32,0,100,100,Int16,0,10000,32767
twi,Float32,0,100,100,Int16,0,10000,32767
